left_context,target_word,entropy_quartile,H_human,n_human_unique,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
В тот момент,атмосфера,Q3,2.3393717343898155,12,0.0,0.2,0.4,0.6,0.6,0.0,0.4375,0.625,0.75,0.75
Клиенты воровали из ресторана,атрибутику,Q1,1.6417347121875212,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ему удалось вскрыть банку об острый край,бампера,Q1,1.3334730391185028,7,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0625,0.0625,0.0625,0.125
У моего отца был счёт в швейцарском,банке,Q1,0.19144408195771734,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Очень хочется заплести,бант,Q2,1.7078211625602204,8,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.05,0.05,0.1,0.1,0.1
В котёл бросают куски,баранины,Q1,0.777661295762166,5,0.0,0.2,0.2,0.2,0.2,0.0,0.8,0.8,0.8,0.8
На запись голоса,барса,Q4,3.435629491863069,36,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.2,0.12000000000000001,0.12000000000000001,0.18,0.24000000000000002,0.24000000000000002
Ее сын Гриша умер,бездетным,Q1,1.5363757657430799,7,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.3333333333333333,0.7222222222222222,0.7222222222222222,0.7777777777777778
Можно будет,бросить,Q4,3.331165217016896,39,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.07894736842105263,0.18421052631578946,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.13846153846153847,0.27692307692307694
"Музыканты играли на похоронах, разгружали",вагоны,Q2,2.2326944771870663,12,0.0,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0,0.05263157894736842,0.3684210526315789,0.5263157894736842,0.5263157894736842
Дрозды и сковрцы начали,вить,Q2,1.9867316488081914,9,0.125,0.125,0.125,0.125,0.25,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2
Что может сделать самый сильный,вол,Q1,1.4201811063183007,21,0.09523809523809523,0.19047619047619047,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.036036036036036036,0.08108108108108109,0.0990990990990991,0.8108108108108107,0.8558558558558558
Здесь потребуется,врач,Q3,2.5426689148346635,15,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125
И не надо ставить это целью,всей,Q3,2.276647368370442,18,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.5,0.0,0.058823529411764705,0.058823529411764705,0.25,0.8823529411764706
Какие главные лекарства должны,входить,Q1,1.4061890195147646,14,0.08333333333333333,0.25,0.25,0.5833333333333334,0.6666666666666666,0.01639344262295082,0.7213114754098361,0.7213114754098361,0.8852459016393442,0.9016393442622951
Применение микросхемы,даст,Q2,2.2326944771870663,12,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.05263157894736842,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.5263157894736842
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,Q1,0.40901702452092525,7,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.9230769230769231,0.9230769230769231,0.9358974358974359,0.9487179487179488,0.9615384615384616
С нескрываемой,едкой,Q1,1.4680602034990462,6,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.6428571428571428
Однако здесь,есть,Q3,2.5275191508415684,14,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.5384615384615384,0.1,0.30000000000000004,0.5,0.5,0.7000000000000001
"Тому, кто",желает,Q4,3.7684469035832473,63,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.13725490196078433,0.35294117647058826,0.051470588235294115,0.11029411764705882,0.14705882352941177,0.19117647058823528,0.4264705882352941
В качестве примера приводится,жирность,Q4,3.4296874559885806,40,0.02564102564102564,0.05128205128205128,0.07692307692307693,0.10256410256410256,0.1794871794871795,0.014705882352941176,0.044117647058823525,0.058823529411764705,0.07352941176470588,0.11764705882352941
Он признаёт право каждого,жить,Q1,1.1126445037794073,5,0.4,0.4,0.6,0.8,0.8,0.3333333333333333,0.3333333333333333,0.9047619047619047,0.9523809523809523,0.9523809523809523
Вспоминая,журчание,Q3,2.474378668987347,15,0.0,0.07142857142857142,0.21428571428571427,0.5,0.5,0.0,0.125,0.20833333333333331,0.375,0.375
"Он вскрыл пачку сухарей,",заварил,Q3,2.3331967142862475,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.3684210526315789
Но четыре года я не мог себя,заставить,Q2,2.153532456654254,10,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3333333333333333
На Ольгу Васильевну было написано,заявление,Q2,1.951848439223888,9,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333
Я знал: их особенно,злило,Q3,2.3933121229745242,12,0.16666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.6666666666666666,0.25,0.25,0.3125,0.5,0.6875
Очень тогда,злые,Q4,2.8794805437299424,30,0.0,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.029411764705882353,0.11764705882352941,0.4117647058823529,0.4852941176470588
Создать настоящие шедевры вам помогут,зоркий,Q2,1.8346096344580887,9,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.125,0.5625,0.5625,0.625,0.625
Наши власти позволяют себе,излишества,Q2,2.0228085294147036,9,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666
У нас в Волгограде многие придерживаются,иной,Q4,2.753284390713449,27,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.04477611940298507,0.04477611940298507
Ей никак не суметь,испечь,Q4,3.460449458574297,56,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.07272727272727272,0.18181818181818182,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.04132231404958678,0.30578512396694213
Во избежание ожогов надо нанести на лицо небольшое,количество,Q1,-0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
В вопросе послышался упрёк,командиру,Q1,1.6617059339687814,8,0.125,0.25,0.25,0.375,0.5,0.3684210526315789,0.6842105263157894,0.6842105263157894,0.7368421052631579,0.7894736842105263
"За углом ― Морской музей, с бесчисленными моделями",кораблей,Q1,0.47065198755946464,5,0.0,0.0,0.2,0.6,1.0,0.0,0.0,0.029411764705882353,0.9558823529411765,1.0
"Мне нравится сын коллеги,",который,Q2,2.158595808314737,18,0.15384615384615385,0.38461538461538464,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.20689655172413793,0.40229885057471265,0.9425287356321839,0.9540229885057471,0.9540229885057471
Душа требовала,красоты,Q4,3.0427644980988195,34,0.0,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.15151515151515152,0.0,0.05263157894736842,0.05263157894736842,0.23684210526315788,0.35526315789473684
Наше правительство сделало,крен,Q4,2.9927663602591608,26,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549
А промывать манную,крупу,Q1,0.8305236914828463,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0625,0.0625,0.6875,0.6875,1.0
Каждое утро на самый верх,крыши,Q3,2.6923109941417858,16,0.0,0.0625,0.1875,0.1875,0.25,0.0,0.05,0.2,0.2,0.30000000000000004
Убедительно просим вас разборчиво заполнять,купон,Q2,2.0140355237092673,9,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.3125,0.375,0.375,0.375,0.875
На болотах оставался ещё,лед,Q4,3.189881957916026,53,0.05660377358490566,0.07547169811320754,0.09433962264150944,0.11320754716981132,0.2830188679245283,0.32307692307692304,0.36153846153846153,0.36923076923076925,0.3846153846153846,0.4846153846153846
Дорога ведет в глухой,лес,Q1,1.0667020540577397,15,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,0.7976190476190476,0.8333333333333333
На ведущей вниз,лестнице,Q1,1.688707864199118,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.0,0.06557377049180328,0.0819672131147541,0.19672131147540983,0.21311475409836067
Когда она в самолёте,летела,Q4,3.4509792431289967,51,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.20454545454545456,0.007692307692307693,0.007692307692307693,0.09230769230769231,0.09230769230769231,0.3307692307692308
Возможности этих перемен будут обсуждаться в Париже,летом,Q1,1.6245757807017087,10,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.8571428571428571,0.8571428571428571
"Там, недалеко от кухонной двери, сидел",лис,Q4,2.749284474663359,35,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.34285714285714286,0.4857142857142857,0.008130081300813009,0.13008130081300814,0.21951219512195122,0.29268292682926833,0.5609756097560976
"В багажнике были лопата,",лом,Q3,2.567443946257969,22,0.0,0.0,0.18181818181818182,0.22727272727272727,0.3181818181818182,0.0,0.0,0.1774193548387097,0.22580645161290322,0.6129032258064516
Старуха была страшной --,лопоухая,Q4,3.168680375466179,36,0.029411764705882353,0.11764705882352941,0.23529411764705882,0.3235294117647059,0.4411764705882353,0.015151515151515152,0.3181818181818182,0.5151515151515151,0.5757575757575757,0.6666666666666666
Врач прописал заживляющую,мазь,Q1,0.6096274235960984,4,0.25,0.25,0.25,0.25,0.5,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.894736842105263
В бассейне,микробы,Q4,3.2717581985863053,56,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.027210884353741496
В резервациях,миссионеры,Q2,1.8346096344580887,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0625,0.0625,0.0625,0.0625,0.5
"Мама брала меня с собой, и мы, сдав",молоко,Q3,2.552085297620967,14,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.3157894736842105
Приблизительно в центре тайги,мопед,Q2,2.1535324566542537,10,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666
Не поручайте,мужу,Q4,3.064557272125744,31,0.0,0.0,0.0,0.35,0.5,0.0,0.0,0.0,0.6144578313253012,0.6867469879518072
В деревнях по-прежнему,мяли,Q3,2.488327743368588,13,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.4,0.4
В числе возможных кандидатов,называют,Q1,1.2033320406994703,5,0.2,0.4,0.6,0.6,0.6,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706
"Твоё тело расслабляется, и исчезает",напряжение,Q2,1.8413903748459726,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.13333333333333333,0.4,0.4,0.4,0.7333333333333334
Он был очень,неопытным,Q4,2.736339051105066,16,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666
"Они не ели целый день,",несчастные,Q1,1.2105578441774711,4,0.25,0.75,0.75,1.0,1.0,0.4666666666666667,0.8,0.8,1.0,1.0
В речи учёного прозвучало,неявное,Q4,3.4577708361922044,47,0.0425531914893617,0.0851063829787234,0.0851063829787234,0.19148936170212766,0.2765957446808511,0.03773584905660377,0.0660377358490566,0.0660377358490566,0.33962264150943394,0.39622641509433965
Тема эта в то время была,новой,Q3,2.28995151603326,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.1,0.1,0.1,0.15000000000000002,0.25
"Существует легенда, что",ноев,Q4,3.573697660532122,42,0.0,0.07317073170731707,0.12195121951219512,0.14634146341463414,0.24390243902439024,0.0,0.1206896551724138,0.15517241379310345,0.1724137931034483,0.3275862068965517
Он ловко поддел концом,ножа,Q3,2.647369830722809,39,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.007462686567164179,0.007462686567164179,0.007462686567164179,0.022388059701492536,0.08208955223880597
У директора школы был тонкий,нюх,Q3,2.551494245674996,24,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.2916666666666667,0.0425531914893617,0.26595744680851063,0.26595744680851063,0.5957446808510638,0.6063829787234042
У Пашки,обгорели,Q1,1.495615780172503,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.85,0.95,0.95
В конверте вместе с деньгами была,обнаружена,Q2,1.7228208391142312,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Стала стабильнее экономическая и политическая,обстановка,Q1,0.6559757323365467,3,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.7857142857142857,1.0,1.0,1.0
В современном,обществе,Q1,0.4437572842601484,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353
Педагог предъявляет,одинаковые,Q2,1.8943120247335319,8,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.06666666666666667
"Я сказал, что русский солдат",омоет,Q2,1.8594288151492286,8,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.7333333333333333,0.7333333333333333
Старый шкаф,орехового,Q3,2.498014334573413,28,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.06944444444444445,0.06944444444444445,0.09722222222222221,0.1111111111111111,0.19444444444444442
