left_context,target_word,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200,overlap_at_400,weighted_overlap_at_400,surface_match_at_400,surface_weighted_match_at_400
"Думаю, большой",урон,32,0.0,0.0,0.0,0.0,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.0625,0.061224489795918366,0.03125,0.04081632653061224,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306
Мы установили камеру на новый,штатив,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.10204081632653061,0.0,0.0,0.0425531914893617,0.10884353741496598,0.02127659574468085,0.10204081632653061,0.0851063829787234,0.12244897959183673,0.06382978723404255,0.11564625850340136,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285
"Музыканты играли на похоронах, разгружали",вагоны,11,0.0,0.0,0.0,0.0,0.09090909090909091,0.05263157894736842,0.08333333333333333,0.05263157894736842,0.18181818181818182,0.3684210526315789,0.16666666666666666,0.3684210526315789,0.18181818181818182,0.3684210526315789,0.16666666666666666,0.3684210526315789,0.36363636363636365,0.5263157894736842,0.16666666666666666,0.3684210526315789,0.36363636363636365,0.5263157894736842,0.25,0.42105263157894735,0.36363636363636365,0.5263157894736842,0.25,0.42105263157894735,0.36363636363636365,0.5263157894736842,0.25,0.42105263157894735
Клиенты воровали из ресторана,атрибутику,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
В сюжете этого фильма какие-то,осы,27,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.18518518518518517,0.35384615384615387,0.14814814814814814,0.3384615384615385,0.2222222222222222,0.6153846153846154,0.18518518518518517,0.35384615384615387,0.25925925925925924,0.6615384615384616,0.2222222222222222,0.4,0.25925925925925924,0.6615384615384616,0.2222222222222222,0.4
После завершения,техосмотра,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.29411764705882354,0.14285714285714285,0.11764705882352941,0.2857142857142857,0.35294117647058826,0.21428571428571427,0.29411764705882354,0.35714285714285715,0.4117647058823529,0.2857142857142857,0.35294117647058826,0.35714285714285715,0.4117647058823529,0.2857142857142857,0.35294117647058826
Ей никак не суметь,испечь,55,0.01818181818181818,0.008264462809917356,0.017857142857142856,0.008264462809917356,0.03636363636363636,0.01652892561983471,0.03571428571428571,0.01652892561983471,0.03636363636363636,0.01652892561983471,0.03571428571428571,0.01652892561983471,0.03636363636363636,0.01652892561983471,0.03571428571428571,0.01652892561983471,0.07272727272727272,0.04132231404958678,0.03571428571428571,0.01652892561983471,0.18181818181818182,0.30578512396694213,0.14285714285714285,0.0743801652892562,0.23636363636363636,0.39669421487603307,0.21428571428571427,0.371900826446281,0.23636363636363636,0.39669421487603307,0.21428571428571427,0.371900826446281
Если я еще увижу здесь хоть,соринку,10,0.1,0.7386363636363636,0.07692307692307693,0.2159090909090909,0.1,0.7386363636363636,0.23076923076923078,0.6363636363636364,0.2,0.7727272727272727,0.3076923076923077,0.6704545454545454,0.3,0.7840909090909091,0.38461538461538464,0.6818181818181819,0.3,0.7840909090909091,0.46153846153846156,0.7840909090909091,0.5,0.9204545454545454,0.6153846153846154,0.9204545454545455,0.5,0.9204545454545454,0.6153846153846154,0.9204545454545455,0.5,0.9204545454545454,0.6153846153846154,0.9204545454545455
Он умел из любого,сора,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.023255813953488372,0.0625,0.023255813953488372,0.0967741935483871,0.12790697674418605,0.09375,0.12790697674418605,0.0967741935483871,0.12790697674418605,0.09375,0.12790697674418605,0.16129032258064516,0.1744186046511628,0.125,0.13953488372093023,0.1935483870967742,0.18604651162790697,0.15625,0.1511627906976744,0.1935483870967742,0.18604651162790697,0.15625,0.1511627906976744
В современном,обществе,3,0.3333333333333333,0.8823529411764706,0.0,0.0,0.3333333333333333,0.8823529411764706,0.0,0.0,0.6666666666666666,0.9411764705882353,0.3333333333333333,0.058823529411764705,0.6666666666666666,0.9411764705882353,0.3333333333333333,0.058823529411764705,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353
Душа требовала,красоты,33,0.0,0.0,0.0,0.0,0.06060606060606061,0.05263157894736842,0.029411764705882353,0.039473684210526314,0.06060606060606061,0.05263157894736842,0.058823529411764705,0.05263157894736842,0.06060606060606061,0.05263157894736842,0.058823529411764705,0.05263157894736842,0.09090909090909091,0.23684210526315788,0.058823529411764705,0.05263157894736842,0.15151515151515152,0.35526315789473684,0.058823529411764705,0.05263157894736842,0.21212121212121213,0.5,0.17647058823529413,0.3157894736842105,0.21212121212121213,0.5,0.17647058823529413,0.3157894736842105
На газовой плите стояла,открытая,5,0.2,0.8688524590163934,0.2,0.8688524590163934,0.2,0.8688524590163934,0.2,0.8688524590163934,0.2,0.8688524590163934,0.2,0.8688524590163934,0.2,0.8688524590163934,0.2,0.8688524590163934,0.4,0.8852459016393442,0.4,0.8852459016393442,0.4,0.8852459016393442,0.4,0.8852459016393442,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492
Создать настоящие шедевры вам помогут,зоркий,9,0.1111111111111111,0.125,0.1111111111111111,0.125,0.2222222222222222,0.5625,0.2222222222222222,0.5625,0.2222222222222222,0.5625,0.2222222222222222,0.5625,0.2222222222222222,0.5625,0.2222222222222222,0.5625,0.3333333333333333,0.625,0.2222222222222222,0.5625,0.3333333333333333,0.625,0.3333333333333333,0.625,0.4444444444444444,0.6875,0.4444444444444444,0.6875,0.4444444444444444,0.6875,0.4444444444444444,0.6875
Под рукавом рубашки виднелся тонкий,ремешок,29,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.034482758620689655,0.06172839506172839,0.10344827586206896,0.16049382716049382,0.10344827586206896,0.16049382716049382,0.20689655172413793,0.49382716049382713,0.20689655172413793,0.49382716049382713,0.3103448275862069,0.5308641975308641,0.3103448275862069,0.5308641975308641,0.3793103448275862,0.5555555555555556,0.3793103448275862,0.5555555555555556
Когда она в самолёте,летела,44,0.022727272727272728,0.007692307692307693,0.0,0.0,0.022727272727272728,0.007692307692307693,0.0196078431372549,0.007692307692307693,0.06818181818181818,0.07692307692307693,0.0196078431372549,0.007692307692307693,0.11363636363636363,0.09230769230769231,0.0196078431372549,0.007692307692307693,0.11363636363636363,0.09230769230769231,0.058823529411764705,0.05384615384615385,0.20454545454545456,0.3307692307692308,0.1568627450980392,0.2230769230769231,0.20454545454545456,0.3307692307692308,0.17647058823529413,0.23076923076923078,0.25,0.34615384615384615,0.2549019607843137,0.30000000000000004
В речи учёного прозвучало,неявное,47,0.0425531914893617,0.03773584905660377,0.0425531914893617,0.03773584905660377,0.0851063829787234,0.0660377358490566,0.0851063829787234,0.0660377358490566,0.0851063829787234,0.0660377358490566,0.0851063829787234,0.0660377358490566,0.0851063829787234,0.0660377358490566,0.0851063829787234,0.0660377358490566,0.19148936170212766,0.33962264150943394,0.14893617021276595,0.19811320754716982,0.2765957446808511,0.39622641509433965,0.2127659574468085,0.3490566037735849,0.3617021276595745,0.4528301886792453,0.3404255319148936,0.44339622641509435,0.40425531914893614,0.5094339622641509,0.3829787234042553,0.4811320754716981
Старуха была страшной --,лопоухая,34,0.029411764705882353,0.015151515151515152,0.027777777777777776,0.015151515151515152,0.11764705882352941,0.3181818181818182,0.08333333333333333,0.19696969696969696,0.17647058823529413,0.36363636363636365,0.08333333333333333,0.19696969696969696,0.23529411764705882,0.5151515151515151,0.16666666666666666,0.3333333333333333,0.3235294117647059,0.5757575757575757,0.25,0.40909090909090906,0.4411764705882353,0.6666666666666666,0.3611111111111111,0.5909090909090909,0.5294117647058824,0.7272727272727273,0.4166666666666667,0.6515151515151515,0.5294117647058824,0.7272727272727273,0.4444444444444444,0.6666666666666666
Если мы позволим этим людям,уйти,14,0.0,0.0,0.0,0.0,0.14285714285714285,0.1,0.13333333333333333,0.1,0.14285714285714285,0.1,0.13333333333333333,0.1,0.14285714285714285,0.1,0.13333333333333333,0.1,0.35714285714285715,0.30000000000000004,0.3333333333333333,0.30000000000000004,0.5714285714285714,0.7000000000000001,0.4666666666666667,0.4,0.5714285714285714,0.7000000000000001,0.5333333333333333,0.5,0.5714285714285714,0.7000000000000001,0.5333333333333333,0.5
Судя по огромному,расходу,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.07518796992481203,0.047619047619047616,0.07518796992481203,0.04878048780487805,0.07518796992481203,0.047619047619047616,0.07518796992481203,0.17073170731707318,0.5413533834586466,0.14285714285714285,0.19548872180451127,0.24390243902439024,0.5639097744360901,0.19047619047619047,0.21052631578947367,0.2682926829268293,0.5714285714285714,0.23809523809523808,0.22556390977443608,0.2682926829268293,0.5714285714285714,0.23809523809523808,0.22556390977443608
Она с досадой,хмурила,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.05333333333333334,0.03125,0.05333333333333334,0.06666666666666667,0.48,0.03125,0.05333333333333334,0.1,0.4933333333333333,0.125,0.4933333333333333,0.23333333333333334,0.6266666666666666,0.21875,0.5866666666666667,0.3,0.6799999999999999,0.28125,0.6533333333333333,0.3,0.6799999999999999,0.28125,0.6533333333333333
Очень тогда,злые,27,0.0,0.0,0.0,0.0,0.07407407407407407,0.029411764705882353,0.06666666666666667,0.029411764705882353,0.07407407407407407,0.029411764705882353,0.06666666666666667,0.029411764705882353,0.1111111111111111,0.11764705882352941,0.06666666666666667,0.029411764705882353,0.2222222222222222,0.4117647058823529,0.2,0.14705882352941177,0.3333333333333333,0.4852941176470588,0.23333333333333334,0.16176470588235295,0.3333333333333333,0.4852941176470588,0.3,0.22058823529411764,0.3333333333333333,0.4852941176470588,0.3,0.22058823529411764
"Покуда я нахожусь у власти, я буду предметом",ярых,21,0.09523809523809523,0.05660377358490566,0.08695652173913043,0.05660377358490566,0.14285714285714285,0.1509433962264151,0.13043478260869565,0.1509433962264151,0.14285714285714285,0.1509433962264151,0.13043478260869565,0.1509433962264151,0.14285714285714285,0.1509433962264151,0.13043478260869565,0.1509433962264151,0.2857142857142857,0.24528301886792453,0.21739130434782608,0.20754716981132076,0.5238095238095238,0.37735849056603776,0.34782608695652173,0.32075471698113206,0.6190476190476191,0.5283018867924528,0.5217391304347826,0.49056603773584906,0.6190476190476191,0.5283018867924528,0.6086956521739131,0.5283018867924528
Убедительно просим вас разборчиво заполнять,купон,7,0.2857142857142857,0.3125,0.1111111111111111,0.1875,0.42857142857142855,0.375,0.2222222222222222,0.25,0.42857142857142855,0.375,0.2222222222222222,0.25,0.42857142857142855,0.375,0.2222222222222222,0.25,0.42857142857142855,0.375,0.3333333333333333,0.3125,0.7142857142857143,0.875,0.5555555555555556,0.5625,0.8571428571428571,0.9375,0.8888888888888888,0.9375,0.8571428571428571,0.9375,0.8888888888888888,0.9375
В лесу ветром,трепало,38,0.02631578947368421,0.013157894736842105,0.0,0.0,0.02631578947368421,0.013157894736842105,0.0,0.0,0.02631578947368421,0.013157894736842105,0.0,0.0,0.02631578947368421,0.013157894736842105,0.0,0.0,0.02631578947368421,0.013157894736842105,0.024390243902439025,0.013157894736842105,0.13157894736842105,0.17105263157894735,0.04878048780487805,0.07894736842105263,0.2631578947368421,0.2763157894736842,0.07317073170731707,0.14473684210526316,0.2631578947368421,0.2763157894736842,0.07317073170731707,0.14473684210526316
В резервациях,миссионеры,9,0.1111111111111111,0.0625,0.0,0.0,0.1111111111111111,0.0625,0.0,0.0,0.1111111111111111,0.0625,0.0,0.0,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.2222222222222222,0.5,0.1111111111111111,0.0625,0.2222222222222222,0.5,0.1111111111111111,0.0625,0.2222222222222222,0.5,0.1111111111111111,0.0625
Дрозды и сковрцы начали,вить,8,0.125,0.13333333333333333,0.0,0.0,0.125,0.13333333333333333,0.0,0.0,0.125,0.13333333333333333,0.1111111111111111,0.06666666666666667,0.125,0.13333333333333333,0.1111111111111111,0.06666666666666667,0.125,0.13333333333333333,0.2222222222222222,0.13333333333333333,0.25,0.2,0.3333333333333333,0.2,0.375,0.26666666666666666,0.3333333333333333,0.2,0.375,0.26666666666666666,0.3333333333333333,0.2
"Город, раскинувшийся вдоль",реки,12,0.08333333333333333,0.015625,0.0,0.0,0.16666666666666666,0.046875,0.07692307692307693,0.03125,0.16666666666666666,0.046875,0.07692307692307693,0.03125,0.16666666666666666,0.046875,0.07692307692307693,0.03125,0.3333333333333333,0.734375,0.3076923076923077,0.734375,0.3333333333333333,0.734375,0.3076923076923077,0.734375,0.4166666666666667,0.75,0.3076923076923077,0.734375,0.4166666666666667,0.75,0.38461538461538464,0.75
"Наживка, на которую он ловил",рыбу,9,0.1111111111111111,0.015625,0.1,0.015625,0.1111111111111111,0.015625,0.1,0.015625,0.1111111111111111,0.015625,0.1,0.015625,0.1111111111111111,0.015625,0.1,0.015625,0.2222222222222222,0.03125,0.1,0.015625,0.3333333333333333,0.0625,0.2,0.03125,0.4444444444444444,0.078125,0.2,0.03125,0.4444444444444444,0.078125,0.2,0.03125
Старый шкаф,орехового,27,0.07407407407407407,0.06944444444444445,0.07142857142857142,0.06944444444444445,0.07407407407407407,0.06944444444444445,0.07142857142857142,0.06944444444444445,0.07407407407407407,0.06944444444444445,0.07142857142857142,0.06944444444444445,0.1111111111111111,0.09722222222222221,0.07142857142857142,0.06944444444444445,0.14814814814814814,0.1111111111111111,0.10714285714285714,0.09722222222222221,0.18518518518518517,0.19444444444444442,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.20833333333333331,0.14285714285714285,0.1111111111111111,0.25925925925925924,0.2222222222222222,0.14285714285714285,0.1111111111111111
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,5,0.2,0.21052631578947367,0.0,0.0,0.2,0.21052631578947367,0.0,0.0,0.4,0.8421052631578947,0.2,0.21052631578947367,0.6,0.894736842105263,0.4,0.8421052631578947,0.6,0.894736842105263,0.6,0.894736842105263,0.6,0.894736842105263,0.6,0.894736842105263,0.6,0.894736842105263,0.6,0.894736842105263,0.6,0.894736842105263,0.6,0.894736842105263
Каждое утро на самый верх,крыши,16,0.0,0.0,0.0,0.0,0.0625,0.05,0.0,0.0,0.125,0.15000000000000002,0.0625,0.05,0.1875,0.2,0.0625,0.05,0.1875,0.2,0.1875,0.2,0.25,0.30000000000000004,0.1875,0.2,0.3125,0.35000000000000003,0.25,0.30000000000000004,0.3125,0.35000000000000003,0.25,0.30000000000000004
"Там, недалеко от кухонной двери, сидел",лис,35,0.02857142857142857,0.008130081300813009,0.02857142857142857,0.008130081300813009,0.14285714285714285,0.13008130081300814,0.08571428571428572,0.06504065040650407,0.2,0.15447154471544716,0.14285714285714285,0.13008130081300814,0.2571428571428571,0.21951219512195122,0.17142857142857143,0.14634146341463417,0.34285714285714286,0.29268292682926833,0.34285714285714286,0.29268292682926833,0.4857142857142857,0.5609756097560976,0.4,0.3252032520325203,0.6,0.8455284552845529,0.5428571428571428,0.3983739837398374,0.6,0.8455284552845529,0.5428571428571428,0.3983739837398374
Ненужный коврик из твёрдой,пластмассы,7,0.14285714285714285,0.07692307692307693,0.14285714285714285,0.07692307692307693,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923
Когда мне хотелось,сгущенки,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.15789473684210525,0.125,0.3888888888888889,0.5416666666666666,0.3684210526315789,0.5,0.3888888888888889,0.5416666666666666,0.42105263157894735,0.5416666666666666,0.3888888888888889,0.5416666666666666,0.42105263157894735,0.5416666666666666
"Один футболист, который получил",растяжение,11,0.0,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.2727272727272727,0.3571428571428571,0.09090909090909091,0.14285714285714285,0.2727272727272727,0.3571428571428571,0.2727272727272727,0.3571428571428571,0.36363636363636365,0.42857142857142855,0.36363636363636365,0.42857142857142855,0.36363636363636365,0.42857142857142855,0.36363636363636365,0.42857142857142855,0.45454545454545453,0.5,0.36363636363636365,0.42857142857142855,0.45454545454545453,0.5,0.36363636363636365,0.42857142857142855
"Я слезал, щупал",стога,14,0.14285714285714285,0.23529411764705882,0.14285714285714285,0.23529411764705882,0.14285714285714285,0.23529411764705882,0.14285714285714285,0.23529411764705882,0.21428571428571427,0.29411764705882354,0.21428571428571427,0.29411764705882354,0.21428571428571427,0.29411764705882354,0.21428571428571427,0.29411764705882354,0.21428571428571427,0.29411764705882354,0.21428571428571427,0.29411764705882354,0.2857142857142857,0.35294117647058826,0.2857142857142857,0.35294117647058826,0.2857142857142857,0.35294117647058826,0.2857142857142857,0.35294117647058826,0.2857142857142857,0.35294117647058826,0.2857142857142857,0.35294117647058826
"Я сказал, что русский солдат",омоет,7,0.14285714285714285,0.3333333333333333,0.125,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.125,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.125,0.3333333333333333,0.2857142857142857,0.39999999999999997,0.25,0.39999999999999997,0.7142857142857143,0.7333333333333333,0.375,0.5333333333333333,0.7142857142857143,0.7333333333333333,0.375,0.5333333333333333,0.8571428571428571,0.7999999999999999,0.5,0.6,0.8571428571428571,0.7999999999999999,0.625,0.6666666666666666
"Она почти не изменилась, только слегка",пополнела,9,0.0,0.0,0.0,0.0,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.0625,0.2222222222222222,0.125,0.2222222222222222,0.125,0.3333333333333333,0.375,0.2222222222222222,0.125,0.3333333333333333,0.375,0.2222222222222222,0.125,0.3333333333333333,0.375,0.2222222222222222,0.125
Что может сделать самый сильный,вол,21,0.09523809523809523,0.036036036036036036,0.09523809523809523,0.036036036036036036,0.19047619047619047,0.08108108108108109,0.19047619047619047,0.08108108108108109,0.2857142857142857,0.0990990990990991,0.2857142857142857,0.0990990990990991,0.2857142857142857,0.0990990990990991,0.2857142857142857,0.0990990990990991,0.3333333333333333,0.8108108108108107,0.2857142857142857,0.0990990990990991,0.47619047619047616,0.8558558558558558,0.42857142857142855,0.8378378378378378,0.5714285714285714,0.8738738738738738,0.5714285714285714,0.8738738738738738,0.5714285714285714,0.8738738738738738,0.5714285714285714,0.8738738738738738
"Я люблю салат из картошки с зеленью, заправленный",пахучим,9,0.2222222222222222,0.4606741573033708,0.1111111111111111,0.4157303370786517,0.3333333333333333,0.48314606741573035,0.2222222222222222,0.4606741573033708,0.4444444444444444,0.6741573033707865,0.4444444444444444,0.6741573033707865,0.4444444444444444,0.6741573033707865,0.4444444444444444,0.6741573033707865,0.5555555555555556,0.8764044943820225,0.5555555555555556,0.8764044943820225,0.6666666666666666,0.8876404494382022,0.6666666666666666,0.8876404494382022,0.6666666666666666,0.8876404494382022,0.7777777777777778,0.898876404494382,0.6666666666666666,0.8876404494382022,0.7777777777777778,0.898876404494382
Отвернув цветастое,покрывало,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.35294117647058826,0.14285714285714285,0.35294117647058826,0.14285714285714285,0.35294117647058826,0.14285714285714285,0.35294117647058826,0.42857142857142855,0.7058823529411765,0.42857142857142855,0.7058823529411765,0.5714285714285714,0.7647058823529412,0.5714285714285714,0.7647058823529412,0.7142857142857143,0.8823529411764706,0.7142857142857143,0.8823529411764706,0.7142857142857143,0.8823529411764706,0.7142857142857143,0.8823529411764706
"Журналист взял карандаш,",подвинул,10,0.1,0.125,0.1,0.125,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,0.4,0.3125,0.3,0.25,0.4,0.3125,0.4,0.3125
Врач прописал заживляющую,мазь,4,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.5,0.894736842105263,0.5,0.894736842105263,0.5,0.894736842105263,0.5,0.894736842105263,0.5,0.894736842105263,0.5,0.894736842105263
На привале у озера,юный,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.014925373134328358,0.0,0.0,0.125,0.5671641791044776,0.0,0.0,0.25,0.6417910447761194,0.0,0.0,0.2916666666666667,0.6567164179104478,0.04,0.5223880597014925,0.3333333333333333,0.7164179104477612,0.04,0.5223880597014925
